oblast,week_start,week_end,building_type,damaged_buildings
Dnipropetrovska,2026-07-27,2026-08-02,Agricultural facilities,1
Dnipropetrovska,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Dnipropetrovska,2026-07-27,2026-08-02,Government facilities,3
Dnipropetrovska,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",1
Dnipropetrovska,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,7
Dnipropetrovska,2026-07-27,2026-08-02,Total,13
Dnipropetrovska,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Dnipropetrovska,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,3
Dnipropetrovska,2026-07-20,2026-07-26,Total,4
Kharkivska,2026-07-20,2026-07-26,Agricultural facilities,1
Kharkivska,2026-07-20,2026-07-26,"Cultural facilities (museum, theater etc.)",2
Kharkivska,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Kharkivska,2026-07-20,2026-07-26,Electricity supply system,4
Kharkivska,2026-07-20,2026-07-26,Fuel depot,5
Kharkivska,2026-07-20,2026-07-26,Government facilities,4
Kharkivska,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",1
Kharkivska,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,5
Kharkivska,2026-07-20,2026-07-26,Other,1
Kharkivska,2026-07-20,2026-07-26,Railway,2
Kharkivska,2026-07-20,2026-07-26,Total,30
Kharkivska,2026-07-20,2026-07-26,Warehouse,4
Cherkaska,2026-07-13,2026-07-19,Agricultural facilities,1
Cherkaska,2026-07-13,2026-07-19,Total,1
Chernihivska,2026-07-13,2026-07-19,Energy Infrastructure (unknown type),1
Chernihivska,2026-07-13,2026-07-19,Fuel depot,1
Chernihivska,2026-07-13,2026-07-19,Government facilities,1
Chernihivska,2026-07-13,2026-07-19,Total,3
Dnipropetrovska,2026-07-13,2026-07-19,Agricultural facilities,4
Dnipropetrovska,2026-07-13,2026-07-19,"Education facility (school, etc.)",3
Dnipropetrovska,2026-07-13,2026-07-19,Electricity supply system,1
Dnipropetrovska,2026-07-13,2026-07-19,Fuel depot,1
Dnipropetrovska,2026-07-13,2026-07-19,Government facilities,1
Dnipropetrovska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,9
Dnipropetrovska,2026-07-13,2026-07-19,Other,1
Dnipropetrovska,2026-07-13,2026-07-19,Total,22
Dnipropetrovska,2026-07-13,2026-07-19,Warehouse,2
Donetska,2026-07-13,2026-07-19,Gas supply system,1
Donetska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,5
Donetska,2026-07-13,2026-07-19,Total,6
Kharkivska,2026-07-13,2026-07-19,Agricultural facilities,2
Kharkivska,2026-07-13,2026-07-19,"Cultural facilities (museum, theater etc.)",3
Kharkivska,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Kharkivska,2026-07-13,2026-07-19,Electricity supply system,6
Kharkivska,2026-07-13,2026-07-19,Fuel depot,2
Kharkivska,2026-07-13,2026-07-19,Gas supply system,1
Kharkivska,2026-07-13,2026-07-19,Government facilities,7
Kharkivska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,6
Kharkivska,2026-07-13,2026-07-19,Other,2
Kharkivska,2026-07-13,2026-07-19,Road / Highway,1
Kharkivska,2026-07-13,2026-07-19,Total,38
Kharkivska,2026-07-13,2026-07-19,Warehouse,5
Kharkivska,2026-07-13,2026-07-19,Water supply system,2
Khersonska,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Khersonska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,2
Khersonska,2026-07-13,2026-07-19,Telecommunications,1
Khersonska,2026-07-13,2026-07-19,Total,5
Khersonska,2026-07-13,2026-07-19,Warehouse,1
Kyiv,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Kyiv,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Kyiv,2026-07-13,2026-07-19,Total,3
Kyiv,2026-07-13,2026-07-19,Warehouse,1
Mykolaivska,2026-07-13,2026-07-19,Gas supply system,1
Mykolaivska,2026-07-13,2026-07-19,"Health facility (hospital, health clinic)",1
Mykolaivska,2026-07-13,2026-07-19,Total,3
Mykolaivska,2026-07-13,2026-07-19,Warehouse,1
Odeska,2026-07-13,2026-07-19,"Education facility (school, etc.)",2
Odeska,2026-07-13,2026-07-19,Fuel depot,1
Odeska,2026-07-13,2026-07-19,Religious facilities,1
Odeska,2026-07-13,2026-07-19,Total,5
Odeska,2026-07-13,2026-07-19,Warehouse,1
Poltavska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Poltavska,2026-07-13,2026-07-19,Total,1
Sevastopol,2026-07-13,2026-07-19,Power plant,1
Sevastopol,2026-07-13,2026-07-19,Total,1
Sumska,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Sumska,2026-07-13,2026-07-19,Government facilities,1
Sumska,2026-07-13,2026-07-19,Total,2
Zaporizka,2026-07-13,2026-07-19,"Health facility (hospital, health clinic)",1
Zaporizka,2026-07-13,2026-07-19,Total,1
Zhytomyrska,2026-07-13,2026-07-19,Fuel depot,1
Zhytomyrska,2026-07-13,2026-07-19,Total,1
Autonomous Republic of Crimea,2026-07-06,2026-07-12,Electricity supply system,6
Autonomous Republic of Crimea,2026-07-06,2026-07-12,Oil depot,1
Autonomous Republic of Crimea,2026-07-06,2026-07-12,Total,7
Chernihivska,2026-07-06,2026-07-12,Fuel depot,1
Chernihivska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Chernihivska,2026-07-06,2026-07-12,Total,4
Chernihivska,2026-07-06,2026-07-12,Warehouse,1
Chernihivska,2026-07-06,2026-07-12,Water supply system,1
Dnipropetrovska,2026-07-06,2026-07-12,Agricultural facilities,7
Dnipropetrovska,2026-07-06,2026-07-12,"Education facility (school, etc.)",4
Dnipropetrovska,2026-07-06,2026-07-12,Electricity supply system,1
Dnipropetrovska,2026-07-06,2026-07-12,Fuel depot,6
Dnipropetrovska,2026-07-06,2026-07-12,Gas supply system,1
Dnipropetrovska,2026-07-06,2026-07-12,Government facilities,4
Dnipropetrovska,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",1
Dnipropetrovska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,10
Dnipropetrovska,2026-07-06,2026-07-12,Other,1
Dnipropetrovska,2026-07-06,2026-07-12,Total,35
Donetska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Donetska,2026-07-06,2026-07-12,Fuel depot,2
Donetska,2026-07-06,2026-07-12,Government facilities,3
Donetska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,3
Donetska,2026-07-06,2026-07-12,Total,9
Kharkivska,2026-07-06,2026-07-12,Agricultural facilities,1
Kharkivska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Kharkivska,2026-07-06,2026-07-12,Electricity supply system,4
Kharkivska,2026-07-06,2026-07-12,Fuel depot,6
Kharkivska,2026-07-06,2026-07-12,Gas supply system,1
Kharkivska,2026-07-06,2026-07-12,Government facilities,2
Kharkivska,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",3
Kharkivska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,13
Kharkivska,2026-07-06,2026-07-12,Total,31
Khersonska,2026-07-06,2026-07-12,"Cultural facilities (museum, theater etc.)",3
Khersonska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
