rayon,week_start,week_end,building_type,damaged_buildings
Bohodukhivskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Bohodukhivskyi,2026-07-27,2026-08-02,Electricity supply system,2
Bohodukhivskyi,2026-07-27,2026-08-02,Energy Infrastructure (unknown type),1
Bohodukhivskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,3
Bohodukhivskyi,2026-07-27,2026-08-02,Other,2
Bohodukhivskyi,2026-07-27,2026-08-02,Total,9
Chuhuivskyi,2026-07-27,2026-08-02,Electricity supply system,1
Chuhuivskyi,2026-07-27,2026-08-02,Fuel depot,1
Chuhuivskyi,2026-07-27,2026-08-02,Other,1
Chuhuivskyi,2026-07-27,2026-08-02,Total,3
Dniprovskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Dniprovskyi,2026-07-27,2026-08-02,Government facilities,2
Dniprovskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,2
Dniprovskyi,2026-07-27,2026-08-02,Total,5
Ivano-Frankivskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Ivano-Frankivskyi,2026-07-27,2026-08-02,Total,1
Iziumskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Iziumskyi,2026-07-27,2026-08-02,Government facilities,3
Iziumskyi,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",1
Iziumskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,1
Iziumskyi,2026-07-27,2026-08-02,Total,6
Kharkivskyi,2026-07-27,2026-08-02,Electricity supply system,3
Kharkivskyi,2026-07-27,2026-08-02,Fuel depot,1
Kharkivskyi,2026-07-27,2026-08-02,Gas supply system,1
Kharkivskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,6
Kharkivskyi,2026-07-27,2026-08-02,Other,1
Kharkivskyi,2026-07-27,2026-08-02,Total,14
Kharkivskyi,2026-07-27,2026-08-02,Warehouse,2
Khersonskyi,2026-07-27,2026-08-02,"Cultural facilities (museum, theater etc.)",1
Khersonskyi,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Khersonskyi,2026-07-27,2026-08-02,Electricity supply system,1
Khersonskyi,2026-07-27,2026-08-02,Fuel depot,1
Khersonskyi,2026-07-27,2026-08-02,Gas supply system,2
Khersonskyi,2026-07-27,2026-08-02,Government facilities,3
Khersonskyi,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",2
Khersonskyi,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,7
Khersonskyi,2026-07-27,2026-08-02,Other,1
Khersonskyi,2026-07-27,2026-08-02,Telecommunications,2
Khersonskyi,2026-07-27,2026-08-02,Total,21
Korostenskyi,2026-07-27,2026-08-02,Agricultural facilities,1
