oblast,week_ending,total_damaged_buildings
Autonomous Republic of Crimea,2026-07-05,2
Chernihivska,2026-07-05,4
Dnipropetrovska,2026-07-05,11
Donetska,2026-07-05,1
Kharkivska,2026-07-05,5
Poltavska,2026-07-05,1
Sumska,2026-07-05,2
Zaporizka,2026-07-05,8
Autonomous Republic of Crimea,2026-06-28,8
Chernihivska,2026-06-28,10
Dnipropetrovska,2026-06-28,35
Donetska,2026-06-28,3
Kharkivska,2026-06-28,15
Khersonska,2026-06-28,3
Kyiv,2026-06-28,2
Mykolaivska,2026-06-28,1
Odeska,2026-06-28,1
Poltavska,2026-06-28,2
Sevastopol,2026-06-28,1
Sumska,2026-06-28,14
Zaporizka,2026-06-28,16
Autonomous Republic of Crimea,2026-06-21,2
Chernihivska,2026-06-21,1
Dnipropetrovska,2026-06-21,38
Donetska,2026-06-21,7
Kharkivska,2026-06-21,13
Khersonska,2026-06-21,1
Kirovohradska,2026-06-21,2
Kyiv,2026-06-21,18
Kyivska,2026-06-21,3
Mykolaivska,2026-06-21,2
Odeska,2026-06-21,2
Poltavska,2026-06-21,5
Sumska,2026-06-21,19
Zaporizka,2026-06-21,14
Autonomous Republic of Crimea,2026-06-14,5
Chernihivska,2026-06-14,5
Dnipropetrovska,2026-06-14,38
Donetska,2026-06-14,4
Kharkivska,2026-06-14,21
Khersonska,2026-06-14,2
Mykolaivska,2026-06-14,1
Poltavska,2026-06-14,2
Sumska,2026-06-14,3
Zaporizka,2026-06-14,6
Zhytomyrska,2026-06-14,1
Autonomous Republic of Crimea,2026-06-07,1
Chernihivska,2026-06-07,9
Dnipropetrovska,2026-06-07,31
Kharkivska,2026-06-07,19
Khersonska,2026-06-07,2
Khmelnytska,2026-06-07,1
Kyiv,2026-06-07,30
Kyivska,2026-06-07,6
Mykolaivska,2026-06-07,1
Odeska,2026-06-07,9
Poltavska,2026-06-07,2
Sumska,2026-06-07,11
Zaporizka,2026-06-07,12
Autonomous Republic of Crimea,2026-05-31,2
Chernihivska,2026-05-31,9
Dnipropetrovska,2026-05-31,22
Donetska,2026-05-31,11
Kharkivska,2026-05-31,4
Khersonska,2026-05-31,4
Mykolaivska,2026-05-31,1
Odeska,2026-05-31,4
Rivnenska,2026-05-31,1
Sumska,2026-05-31,7
Zaporizka,2026-05-31,2
Cherkaska,2026-05-24,1
Chernihivska,2026-05-24,27
Dnipropetrovska,2026-05-24,34
Donetska,2026-05-24,2
Kharkivska,2026-05-24,19
Khersonska,2026-05-24,1
Kyiv,2026-05-24,38
Kyivska,2026-05-24,3
Odeska,2026-05-24,6
Poltavska,2026-05-24,2
Sumska,2026-05-24,12
Zaporizka,2026-05-24,3
Cherkaska,2026-05-17,1
