damage_id,iso3,country,gid_1,oblast,rayon,type_of_infrastructure,if_other_what,date_of_event,source_name,source_date,source_link,additional_sources,extent_of_damage,_internal_filter_date,_weights,access_subindicator,pcode
D18858,UKR,Ukraine,['UKR.11_1'],Kyiv,Kyiv,"Education facility (school, etc.)",,2025-01-01,Hromadske radio,2025-01-01,https://hromadske.radio/news/2025/01/01/rosiia-v-novorichnu-nich-zapustyla-po-ukraini-111-droniv-ie-postrazhdali-v-kyievi,,Partially damaged,2025-01-01,0.7,['7.2'],UA80
D18859,UKR,Ukraine,['UKR.11_1'],Kyiv,Kyiv,Industrial/Business/Enterprise facilities,,2025-01-01,Hromadske radio,2025-01-01,https://hromadske.radio/news/2025/01/01/rosiia-v-novorichnu-nich-zapustyla-po-ukraini-111-droniv-ie-postrazhdali-v-kyievi,,Partially damaged,2025-01-01,0.7,['7.2'],UA80
D18860,UKR,Ukraine,['UKR.11_1'],Kyiv,Kyiv,Road / Highway,,2025-01-01,Hromadske radio,2025-01-01,https://hromadske.radio/news/2025/01/01/rosiia-v-novorichnu-nich-zapustyla-po-ukraini-111-droniv-ie-postrazhdali-v-kyievi,https://newsukraine.rbc.ua/news/at-least-four-shahed-uavs-attack-buildings-1735735101.html,Partially damaged,2025-01-01,0.7,['9.2'],UA80
D18862,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Gas supply system,,2025-01-01,UNN,2025-01-01,https://unn.ua/en/news/russia-starts-the-new-year-with-an-artillery-strike-on-konstantinovka,,Partially damaged,2025-01-01,0.7,['7.2'],UA14
D18863,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Gas supply system,,2025-01-01,UNN,2025-01-01,https://unn.ua/en/news/russia-starts-the-new-year-with-an-artillery-strike-on-konstantinovka,,Partially damaged,2025-01-01,0.7,['7.2'],UA14
D18864,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-01-01,UNN,2025-01-01,https://unn.ua/en/news/russia-starts-the-new-year-with-an-artillery-strike-on-konstantinovka,,Partially damaged,2025-01-01,0.7,['7.2'],UA14
D18865,UKR,Ukraine,['UKR.2_1'],Chernihivska,Novhorod-Siverskyi,Industrial/Business/Enterprise facilities,,2025-01-01,UNN,2025-01-01,https://unn.ua/en/news/russia-starts-the-new-year-with-an-artillery-strike-on-konstantinovka,,Partially damaged,2025-01-01,0.7,['7.2'],UA74
D18866,UKR,Ukraine,['UKR.2_1'],Chernihivska,Novhorod-Siverskyi,Industrial/Business/Enterprise facilities,,2025-01-01,UNN,2025-01-01,https://unn.ua/en/news/russia-starts-the-new-year-with-an-artillery-strike-on-konstantinovka,,Partially damaged,2025-01-01,0.7,['7.2'],UA74
D18867,UKR,Ukraine,['UKR.2_1'],Chernihivska,Novhorod-Siverskyi,Industrial/Business/Enterprise facilities,,2025-01-01,UNN,2025-01-01,https://unn.ua/en/news/russia-starts-the-new-year-with-an-artillery-strike-on-konstantinovka,,Partially damaged,2025-01-01,0.7,['7.2'],UA74
D18868,UKR,Ukraine,['UKR.11_1'],Kyiv,Kyiv,"Cultural facilities (museum, theater etc.)",,2025-01-01,UNN,2025-01-01,https://unn.ua/en/news/russias-attack-on-the-capital-the-historic-building-of-the-national-union-of-writers-was-damaged,,Partially damaged,2025-01-01,0.7,['7.2'],UA80
